date,open,high,low,close,volume,Ticker
08/02/13,15.07,15.12,14.63,14.75,8407500,AAL
11/02/13,14.89,15.01,14.26,14.46,8882000,AAL
12/02/13,14.45,14.51,14.1,14.27,8126000,AAL
13/02/13,14.3,14.94,14.25,14.66,10259500,AAL
14/02/13,14.94,14.96,13.16,13.99,31879900,AAL
15/02/13,13.93,14.61,13.93,14.5,15628000,AAL
19/02/13,14.33,14.56,14.08,14.26,11354400,AAL
11/05/16,33.86,34.45,31.35,31.38,35465522,M
12/05/16,31.21,31.52,30.36,31.21,16842914,M
13/05/16,31.06,32.37,30.44,31.22,15950515,M
16/05/16,31.47,31.55,30.5,30.73,7993407,M
17/05/16,30.75,30.98,30.21,30.4,9053201,M
18/05/16,30.19,30.61,29.94,30.07,8359310,M
19/05/16,30.2,30.89,30.1,30.87,15603779,M
20/05/16,31,31.31,30.5,31.29,9078564,M
23/05/16,31.31,32.01,31.26,31.29,8382293,M
24/05/16,31.35,31.62,31.08,31.19,6215860,M
25/05/16,31.33,32,31.19,31.81,6729254,M
26/05/16,32.16,32.28,31.4,31.57,5358009,M
27/05/16,31.66,32.835,31.51,32.72,10194200,M
31/05/16,32.63,33.25,32.54,33.21,9122829,M
01/06/16,33.05,33.39,32.72,33.03,6846798,M
02/06/16,33.05,34.61,33.05,34.35,12976288,M
03/06/16,33.93,34.5593,33.84,34.33,7624356,M
06/06/16,34.52,34.63,33.88,34.28,6255606,M
07/06/16,34.1,34.65,33.8928,34.32,5378433,M
08/06/16,34.56,34.65,33.991,34.26,4882802,M
09/06/16,34.15,34.15,33.2407,33.6,7187595,M
10/06/16,32.95,33.29,32.63,33.24,5959154,M
13/06/16,32.53,32.68,31.55,31.6,7936529,M
14/06/16,31.67,31.84,30.95,31.31,6164277,M
15/06/16,31.91,32.83,31.82,31.94,6757873,M
16/06/16,32.61,32.68,32.01,32.35,6282051,M
17/06/16,32.32,33.421,32.32,33.23,11334969,M
20/06/16,33.6,33.77,33.165,33.21,5676855,M
21/06/16,33.39,33.425,32.92,33.04,4177622,M
22/06/16,33.2,33.55,32.74,32.81,3989214,M
23/06/16,33.5,34.41,33.27,33.38,11227454,M
24/06/16,32.4,32.49,31.99,32.08,12607201,M
27/06/16,31.87,31.89,30.82,31.71,8272284,M
28/06/16,32.02,32.7,31.82,32.43,5871006,M
29/06/16,32.74,33.73,32.67,33.32,6855854,M
30/06/16,33.45,33.69,32.65,33.61,6587925,M
01/07/16,33.62,34.035,33.39,33.6,5157603,M
05/07/16,33.33,33.49,32.5401,33.1,4905307,M
06/07/16,32.93,33.7,32.67,33.61,5912604,M
07/07/16,33.58,34.19,33.41,33.61,4533729,M
08/07/16,33.95,34.69,33.94,34.36,8148893,M
11/07/16,34.51,34.87,34.4311,34.86,6507199,M
12/07/16,34.98,35.73,34.97,35.65,7640158,M
13/07/16,35.56,35.83,34.86,35.08,5755651,M
14/07/16,35.53,35.62,34.6,34.83,6540684,M
15/07/16,34.94,35.18,34.47,34.68,5885234,M
18/07/16,34.59,35.36,34.54,35.25,5467732,M
19/07/16,35.09,35.1499,34.75,34.87,3289310,M
20/07/16,35.14,35.37,34.81,35.3,3011896,M
21/07/16,35.28,35.705,35.25,35.49,3675356,M
22/07/16,35.5,35.65,34.88,35.28,3513669,M
25/07/16,35.41,36.52,35.36,36.46,6423175,M
26/07/16,37.04,37.42,36.62,36.82,8192603,M
27/07/16,36.95,37,35.53,35.7,5423122,M
28/07/16,35.58,35.88,34.785,35.87,5052688,M
29/07/16,35.83,35.925,35,35.83,6623028,M
01/08/16,35.92,35.98,35.22,35.32,4821340,M
02/08/16,34.97,34.97,32.33,32.76,13392612,M
03/08/16,31.92,33.51,31.02,33.43,10820139,M
04/08/16,33.46,34,33.14,33.69,4681659,M
05/08/16,33.97,34.351,33.74,34.11,5181782,M
08/08/16,34.71,35.21,34.605,34.75,8447720,M
09/08/16,34.5,34.54,33.47,33.78,8427636,M
10/08/16,33.99,34.79,33.9,34,10848207,M
11/08/16,38.9,40.39,38.405,39.81,40540673,M
12/08/16,39.23,39.92,38.94,39.82,15747658,M
15/08/16,39.98,40.6,39.88,40.46,11196549,M
16/08/16,40.08,40.98,39.96,40.7,7633289,M
17/08/16,40.46,40.86,39.89,40.41,5798299,M
18/08/16,40.44,40.6,39.83,40.25,5013015,M
19/08/16,40.1,40.4223,39.915,40.3,4863516,M
22/08/16,40.3,40.34,39.295,39.35,5598434,M
23/08/16,39.65,40.18,39.476,40,5603472,M
24/08/16,39.88,40.11,39.62,39.73,4083058,M
25/08/16,39.52,40.29,39.07,39.25,8484615,M
26/08/16,39.25,39.48,38.43,38.56,6257098,M
29/08/16,38.64,39.01,38.35,38.69,7557057,M
30/08/16,38.49,38.68,38.03,38.19,3644199,M
31/08/16,38.25,38.52,36.08,36.18,16085863,M
01/09/16,36.32,36.62,36.03,36.34,6773971,M
02/09/16,36.43,36.92,36.11,36.64,5428104,M
06/09/16,36.51,36.56,35.73,36.15,8188208,M
07/09/16,36.4,37.37,36.24,37.19,6638722,M
08/09/16,37.14,37.17,35.95,36,7557632,M
09/09/16,35.87,36.05,35.47,35.48,5026150,M
12/09/16,35.27,35.73,34.81,35.65,6999500,M
13/09/16,34.96,35.25,34.31,34.68,6029655,M
14/09/16,35.45,35.83,34.82,35.21,10992955,M
15/09/16,35.11,35.875,35.06,35.56,5818549,M
16/09/16,35.37,35.73,35.19,35.54,9439931,M
19/09/16,35.56,35.8,35.15,35.22,4416236,M
20/09/16,35.3,35.5,34.85,34.96,4226918,M
21/09/16,35.8,36.07,35.48,36.01,7009324,M
22/09/16,36.18,36.86,36,36.26,8357443,M
23/09/16,36.22,36.81,36.21,36.62,4698826,M
26/09/16,36.4,37.06,36.2,36.24,6223807,M
27/09/16,36.21,36.64,36.051,36.6,3590052,M
28/09/16,36.19,36.66,35.7,36.1,4994340,M
29/09/16,36,36.475,35.81,36.05,3813891,M
30/09/16,36.39,37.22,36.39,37.05,5363227,M
03/10/16,36.97,37.23,36.17,36.28,4269351,M
04/10/16,36.31,36.6,36.08,36.56,5100909,M
05/10/16,36.76,37.58,36.57,37.36,5997801,M
06/10/16,37.17,37.86,36.73,37.68,6813617,M
07/10/16,37.89,38.37,37.55,38.04,6688988,M
10/10/16,38.22,38.48,37.435,37.54,4378288,M
11/10/16,37.53,37.725,37.14,37.24,3830653,M
12/10/16,37.24,37.74,36.97,37.54,3730443,M
13/10/16,37.29,37.34,36.39,36.8,4712896,M
14/10/16,35.97,36.27,35.19,35.57,7822320,M
17/10/16,35.53,36.21,34.88,35.09,7208845,M
18/10/16,35.25,35.35,34.8,35.2,4659079,M
19/10/16,35.15,35.61,34.9,35.59,3200765,M
20/10/16,35.6,36.06,35.48,35.87,3277901,M
21/10/16,35.76,36.52,35.59,36.51,3349076,M
24/10/16,36.69,37.04,36.4,36.64,2991949,M
25/10/16,36.24,36.35,35.81,35.93,4082318,M
26/10/16,35.82,36.38,35.76,35.95,3899398,M
27/10/16,36,36.17,35.13,35.3,5347221,M
28/10/16,35.32,35.9,35.245,35.56,4083239,M
31/10/16,36.02,36.565,35.8,36.49,6991042,M
01/11/16,36.44,37.35,36.42,36.84,7156028,M
02/11/16,36.86,37.09,36.56,36.89,5097251,M
03/11/16,37.04,37.46,36.81,36.89,5952334,M
04/11/16,36.97,37.465,36.8,36.85,4210241,M
07/11/16,37.23,37.805,37.1,37.77,4792338,M
08/11/16,37.71,38.24,37.48,37.87,5347968,M
09/11/16,37.19,38.91,36.75,38.38,11462487,M
10/11/16,39.99,42,39.6,40.53,18878735,M
11/11/16,40.49,41.37,40.17,41.36,9285733,M
14/11/16,41.1,43.94,41.1,41.56,13391242,M
15/11/16,41.57,41.79,40.45,41.39,7689786,M
16/11/16,41.79,42.055,41.205,41.84,5874239,M
17/11/16,41.94,43.09,41.6776,43.05,6278461,M
18/11/16,42.72,43.22,41.955,43.03,5055445,M
21/11/16,43.14,43.6,42.8501,43.19,3919340,M
22/11/16,43.74,44.68,43.485,44.46,6643895,M
23/11/16,44.21,45.155,44.19,44.91,5411744,M
25/11/16,45.15,45.41,44.09,44.14,3061509,M
28/11/16,43.75,44,42.86,43.13,7049142,M
29/11/16,43.27,43.61,42.39,42.49,5770546,M
30/11/16,42.39,42.655,41.58,42.2,6986774,M
01/12/16,42.01,43.45,41.9,42.42,5248235,M
02/12/16,42.49,43.04,42.25,42.48,3662473,M
05/12/16,42.62,43.005,41.515,41.91,7201829,M
06/12/16,41.8,42.68,41.331,42.4,6825860,M
07/12/16,42.56,43.23,42.35,43.18,4518899,M
08/12/16,43.21,43.79,42.67,43.07,4230558,M
09/12/16,43.04,43.08,42.17,42.44,3613151,M
12/12/16,42.24,42.3,40.37,40.46,8359022,M
13/12/16,40.25,40.925,39.99,40.71,5360146,M
14/12/16,40.58,40.92,40.14,40.16,4294584,M
15/12/16,40.09,40.66,40.05,40.14,6317024,M
16/12/16,39.77,39.78,37.32,37.47,12889767,M
19/12/16,37.36,37.88,36.94,37,7911111,M
20/12/16,37.25,38.16,37.25,37.95,6167077,M
21/12/16,37.86,37.97,37.48,37.51,2991224,M
22/12/16,37.53,37.67,36.05,36.17,6756141,M
23/12/16,36.28,36.93,36.26,36.48,4269404,M
27/12/16,36.67,37.23,36.265,36.53,4671261,M
28/12/16,36.61,36.93,36.12,36.28,3521569,M
29/12/16,36.24,36.6,35.92,36.29,3121602,M
30/12/16,36.36,36.5,35.61,35.81,3788295,M
03/01/17,36.13,36.2,34.79,35.23,9777618,M
04/01/17,35.51,36.395,35.475,35.84,9508705,M
05/01/17,31.57,31.85,30.51,30.86,29249122,M
06/01/17,30.82,31.52,30.55,30.82,11484816,M
09/01/17,30.88,30.99,30.35,30.46,9250337,M
10/01/17,30.64,30.6835,30.12,30.3,10683650,M
11/01/17,30.5,30.53,29.75,29.95,8963993,M
12/01/17,29.83,30.19,29.7,29.98,6352366,M
13/01/17,29.92,30,29.66,29.88,5858026,M
17/01/17,29.91,30.6,29.87,29.9,8772950,M
18/01/17,30.01,30.01,28.55,29.44,13242207,M
19/01/17,29.5,29.8301,29.27,29.45,7456093,M
20/01/17,29.57,29.85,29.461,29.7,7018816,M
23/01/17,29.48,29.92,29.35,29.63,4666007,M
